"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp"
"ESS10SCe03_1",10,"3.1","02.11.2023",10009,"AT",0.74853796,3.3016517,0.3817861,1.2605247,0.00091380405,24,1477,60,4,60,0,0,0
"ESS10SCe03_1",10,"3.1","02.11.2023",10034,"AT",0.999471,0.9176571,0.3817861,0.35034874,0.000684379,105,1831,15,5,300,2,1,7
"ESS10SCe03_1",10,"3.1","02.11.2023",10048,"AT",1.5111212,0.6638178,0.3817861,0.25343645,0.0004526553,97,1503,90,4,40,7,7,7
"ESS10SCe03_1",10,"3.1","02.11.2023",10058,"AT",2.9794238,2.977892,0.3817861,1.1369178,0.0002295803,34,697,25,5,240,7,7,8
"ESS10SCe03_1",10,"3.1","02.11.2023",10066,"AT",0.7572235,1.569681,0.3817861,0.59928244,0.0009033224,7,378,60,5,180,5,7,7
"ESS10SCe03_1",10,"3.1","02.11.2023",10091,"AT",1.055126,2.5397816,0.3817861,0.96965337,0.00064827997,61,1450,120,2,6666,7,5,7
"ESS10SCe03_1",10,"3.1","02.11.2023",10166,"AT",0.38084924,0.7934452,0.3817861,0.30292636,0.0017960308,8,284,120,5,180,8,8,8
"ESS10SCe03_1",10,"3.1","02.11.2023",10167,"AT",0.84995234,1.8911952,0.3817861,0.72203207,0.000804771,3,1658,180,5,360,8,7,5
"ESS10SCe03_1",10,"3.1","02.11.2023",10171,"AT",0.72670966,0.60442007,0.3817861,0.23075919,0.00094125204,39,1111,10,3,6666,3,4,5
"ESS10SCe03_1",10,"3.1","02.11.2023",10190,"AT",1.9978616,0.8176366,0.3817861,0.3121623,0.00034237455,82,1861,10,5,180,2,3,2
"ESS10SCe03_1",10,"3.1","02.11.2023",10200,"AT",0.7601139,0.2920217,0.3817861,0.11148983,0.0008998875,83,983,1,5,180,5,5,5
"ESS10SCe03_1",10,"3.1","02.11.2023",10202,"AT",0.47667435,0.191559,0.3817861,0.07313457,0.0014349776,84,322,150,5,270,7,6,7
"ESS10SCe03_1",10,"3.1","02.11.2023",10215,"AT",2.6746774,4,0.3817861,1.5271444,0.00025573812,116,1536,60,5,60,4,9,7
"ESS10SCe03_1",10,"3.1","02.11.2023",10237,"AT",1.2635202,2.8114076,0.3817861,1.0733564,0.00054135814,26,1531,60,4,60,3,5,5
"ESS10SCe03_1",10,"3.1","02.11.2023",10238,"AT",0.9618752,3.0163345,0.3817861,1.1515946,0.00071112864,55,753,120,5,120,5,4,5
"ESS10SCe03_1",10,"3.1","02.11.2023",10241,"AT",1.1041481,1.9191666,0.3817861,0.73271114,0.0006194975,5,1607,10,5,510,0,0,4
"ESS10SCe03_1",10,"3.1","02.11.2023",10289,"AT",0.5113075,0.5012027,0.3817861,0.19135223,0.00133778,12,20,120,5,180,3,7,3
"ESS10SCe03_1",10,"3.1","02.11.2023",10296,"AT",0.8349567,0.40005445,0.3817861,0.15273523,0.0008192245,99,612,60,5,180,6,6,6
"ESS10SCe03_1",10,"3.1","02.11.2023",10306,"AT",1.0126709,0.84225994,0.3817861,0.32156315,0.00067545834,53,1107,30,5,120,2,5,2
"ESS10SCe03_1",10,"3.1","02.11.2023",10314,"AT",1.0240833,0.8517518,0.3817861,0.32518703,0.00066793105,58,505,180,5,240,5,5,5
"ESS10SCe03_1",10,"3.1","02.11.2023",10358,"AT",0.79382676,0.41219354,0.3817861,0.15736978,0.00086167036,80,100,60,5,90,5,7,8
"ESS10SCe03_1",10,"3.1","02.11.2023",10368,"AT",0.44766283,0.18320869,0.3817861,0.069946535,0.0015279737,103,702,60,5,240,4,4,4
"ESS10SCe03_1",10,"3.1","02.11.2023",10370,"AT",1.8744552,1.2142942,0.3817861,0.46360067,0.0003649151,42,596,40,5,300,5,3,3
"ESS10SCe03_1",10,"3.1","02.11.2023",10386,"AT",0.84995234,1.8967448,0.3817861,0.72415084,0.000804771,3,1047,60,4,420,5,7,7
"ESS10SCe03_1",10,"3.1","02.11.2023",10387,"AT",2.0896719,2.048376,0.3817861,0.78204155,0.00032733224,54,1839,119,5,210,3,4,4
"ESS10SCe03_1",10,"3.1","02.11.2023",10430,"AT",0.8349567,0.36678666,0.3817861,0.14003405,0.0008192245,99,1516,30,5,120,2,3,2
"ESS10SCe03_1",10,"3.1","02.11.2023",10432,"AT",0.84995234,1.6539526,0.3817861,0.63145614,0.000804771,3,210,60,5,180,0,0,2
"ESS10SCe03_1",10,"3.1","02.11.2023",10443,"AT",0.52963287,0.41124657,0.3817861,0.15700823,0.0012914927,52,620,10,5,360,3,7,7
"ESS10SCe03_1",10,"3.1","02.11.2023",10455,"AT",0.7455467,0.32847098,0.3817861,0.12540565,0.0009174703,91,573,60,4,150,3,4,6
"ESS10SCe03_1",10,"3.1","02.11.2023",10461,"AT",1.5205424,4,0.3817861,1.5271444,0.00044985066,38,356,60,5,360,0,3,7
"ESS10SCe03_1",10,"3.1","02.11.2023",10555,"AT",0.9755621,0.8090221,0.3817861,0.30887341,0.0007011517,57,1140,20,9,9999,10,10,10
"ESS10SCe03_1",10,"3.1","02.11.2023",10560,"AT",1.1742966,0.40296814,0.3817861,0.15384765,0.0005824908,72,1736,30,5,180,0,5,5
"ESS10SCe03_1",10,"3.1","02.11.2023",10576,"AT",1.0254709,0.852906,0.3817861,0.32562765,0.0006670272,50,1508,10,5,120,5,5,3
"ESS10SCe03_1",10,"3.1","02.11.2023",10581,"AT",1.022615,0.8480423,0.3817861,0.3237708,0.00066889,12,1770,60,5,180,5,2,5
"ESS10SCe03_1",10,"3.1","02.11.2023",10584,"AT",1.1883165,1.1851509,0.3817861,0.45247415,0.0005756185,23,1715,60,5,600,5,4,2
"ESS10SCe03_1",10,"3.1","02.11.2023",10654,"AT",0.9193351,0.6106682,0.3817861,0.23314464,0.0007440344,49,869,10,5,120,3,4,5
"ESS10SCe03_1",10,"3.1","02.11.2023",10659,"AT",0.40422294,0.6714689,0.3817861,0.25635752,0.0016921776,69,1530,90,1,6666,0,1,1
